ID,Stock Code,UPC Full,Name,Size,Default Qty,unit cost,latest cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Don Not Discount,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No
"5973","8200072385","082000723851","SMIRNOFF ICE  6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","2.00","2.00","23.02","4.0","3","B","0","general",,"21060","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5974","8200072751, 8200072747","082000727514, 082000727514","SMIRNOFF ICE APPLE 6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","6.00, 0.00","6.00","23.02","0","0","D","0","general",,"21061","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5975","8200074784","082000747840","SMIRNOFF ICE PINEAPPLE 6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","9.00","9.00","23.02","0","0","D","0","general",,"21063","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5976","8200074344","082000743446","SMIRNOFF ICE MANGO 6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","RTD COCKTAILS","LIQUOR","HIGRADE","10.00","10.00","23.02","1","1","C","0","general",,"21062","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5977","8200072754","082000727545","SMIRNOFF ICE RASPBERRY 6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","MICRO BREWS","BEER","HBHB","0.00","0.00","23.02","1","1","B","0","general",,"21064","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5978","8200075748","082000757481","SMIRNOFF ICE SCREWDRIVER  6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","0.00","0.00","23.02","4.0","4","D","0","general",,"21066","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5979","8200078250","082000782506","SMIRNOFF ICE RED, WHITE, BERRY 6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","8.00","8.00","23.02","0","0","D","0","general",,"21067","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5980","7013782412, 7013710018","070137100188, 070137100188","BLACK & MILD none","","1","1.11","1.11","1.41","","","","","Tax","CIGARETTES","TOBACCO","LJZ","0.00, 17.00","17.00","21.28","25.0","8","B","0","general",,"21065","25","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5981","8200080332","082000803324","SMIRNOFF ICE BLUE RASPBERRY 6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","6.00","6.00","23.02","1","1","C","0","general",,"21068","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5982","8200076600","082000766001","SMIRNOFF ICE PINK LEMONADE 6PK 12OZ","12OZ","1","7.69","7.69","9.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","9.00","9.00","23.02","0","0","D","0","general",,"21069","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5983","8600326725","086003267251","HIGH WEST PEAK 750ML","750ML","1","59.09","59.09","64.99","","","","","Tax","AMERICAN WHISKEY","LIQUOR","FEDW","0.00","0.00","9.08","0","0","D","0","general",,"21072","6","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5984","5024000215","850240002155","MILL KEEPER ROSE 750ML","750ML","1","8.5","8.5","11.99","","","","","Tax","WINE CABERNET","WINE","VINAIO","12.00","12.00","29.11","0","0","D","0","general",,"21073","12","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
